time inst	proc1		proc2		proc3		proc4		proc5		proc6		proc7		proc8		proc9		proc10		proc11		proc12		proc13		proc14		proc15		proc16		proc17		proc18		proc19		proc20
1       	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
2       	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
3       	RUN     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
4       	RUN     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
5       	RUN     	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
6       	RUN     	NEW     	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
7       	RUN     	READY   	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
8       	RUN     	READY   	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
9       	READY   	RUN     	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
10      	READY   	BLOCKED 	RUN     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
11      	READY   	BLOCKED 	RUN     	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
12      	READY   	BLOCKED 	RUN     	NEW     	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
13      	RUN     	READY   	READY   	READY   	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
14      	RUN     	READY   	READY   	READY   	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
15      	RUN     	READY   	READY   	READY   	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
16      	READY   	READY   	RUN     	READY   	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
17      	READY   	READY   	RUN     	READY   	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
18      	READY   	READY   	RUN     	READY   	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
19      	READY   	RUN     	READY   	READY   	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
20      	READY   	BLOCKED 	READY   	RUN     	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
21      	READY   	BLOCKED 	READY   	RUN     	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
22      	READY   	BLOCKED 	READY   	RUN     	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
23      	READY   	READY   	READY   	READY   	RUN     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
24      	RUN     	READY   	READY   	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
